               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031204,            0.030783,           0.0064152,              0.6805,             0.72267,             0.61487,             0.24093,            0.038439,            0.014346,            0.001788,            0.007543,            0.007543,            0.007543
                  37,            0.032683,            0.027415,           0.0050885,             0.62815,             0.63929,              0.5524,             0.29329,            0.033717,            0.012773,          0.00033804,            0.007416,            0.007416,            0.007416
                  38,             0.03178,            0.028322,           0.0047083,             0.51513,             0.56773,             0.50988,             0.18517,            0.039851,            0.016173,            0.001532,           0.0072872,           0.0072872,           0.0072872
                  39,            0.028933,            0.031887,           0.0042107,              0.6186,             0.58918,             0.52834,             0.28282,            0.037755,            0.014778,           0.0013298,           0.0071566,           0.0071566,           0.0071566
                  40,            0.027816,             0.02254,           0.0037554,             0.73285,             0.77481,             0.74033,             0.33729,            0.032085,            0.012997,           0.0013877,           0.0070243,           0.0070243,           0.0070243
                  41,            0.030567,            0.031684,           0.0049864,              0.8382,             0.20357,             0.23031,            0.073937,            0.040041,            0.029942,            0.051998,           0.0068906,           0.0068906,           0.0068906
                  42,            0.028355,            0.025889,           0.0031228,             0.75894,             0.60703,             0.59739,             0.25097,            0.033999,            0.016914,            0.010339,           0.0067555,           0.0067555,           0.0067555
                  43,            0.029689,            0.025937,           0.0028702,             0.84446,             0.81787,             0.76262,             0.42646,            0.035314,            0.011171,           0.0026451,           0.0066191,           0.0066191,           0.0066191
                  44,            0.030131,            0.025688,           0.0035957,             0.60371,              0.5852,             0.56369,             0.21966,            0.036083,            0.011919,           0.0022874,           0.0064816,           0.0064816,           0.0064816
                  45,            0.029469,            0.028764,           0.0032283,             0.72197,             0.70714,             0.67303,             0.30854,            0.033593,            0.012601,           0.0035368,           0.0063432,           0.0063432,           0.0063432
                  46,            0.027787,            0.022782,            0.003502,             0.71506,             0.72142,             0.60599,             0.33824,            0.034023,            0.014221,            0.002091,            0.006204,            0.006204,            0.006204
                  47,            0.029481,             0.02245,           0.0038105,             0.57976,                 0.6,             0.52731,             0.32186,            0.035734,            0.014041,             0.00305,            0.006064,            0.006064,            0.006064
                  48,            0.030984,            0.031836,           0.0063143,             0.36104,             0.50713,             0.32366,             0.16355,            0.038468,            0.012265,            0.034448,           0.0059235,           0.0059235,           0.0059235
                  49,            0.028589,            0.028297,           0.0043109,             0.36321,             0.47857,             0.26954,             0.10225,            0.040746,            0.014969,            0.027416,           0.0057826,           0.0057826,           0.0057826
                  50,            0.027481,            0.023084,           0.0031271,             0.72642,             0.76071,              0.6724,             0.36753,            0.031275,            0.011969,           0.0064725,           0.0056413,           0.0056413,           0.0056413
                  51,            0.026334,            0.023386,           0.0025921,             0.81403,             0.80714,             0.72023,             0.39282,            0.031199,            0.012592,          0.00026782,              0.0055,              0.0055,              0.0055
                  52,            0.027397,            0.033047,           0.0063115,             0.13939,             0.11429,            0.052817,            0.021681,            0.041313,            0.026719,            0.014347,           0.0053587,           0.0053587,           0.0053587
                  53,            0.028405,            0.033833,           0.0054536,             0.66616,                 0.7,              0.6518,             0.24512,            0.031004,            0.012221,            0.021281,           0.0052174,           0.0052174,           0.0052174
                  54,            0.029781,             0.02568,           0.0047567,             0.53147,             0.62449,             0.54203,              0.2848,            0.034398,            0.015006,            0.032938,           0.0050765,           0.0050765,           0.0050765
                  55,            0.027261,             0.02511,           0.0028044,             0.63655,             0.62142,             0.57009,             0.30243,            0.036309,            0.014843,            0.002756,            0.004936,            0.004936,            0.004936
                  56,            0.026138,            0.026552,           0.0025832,             0.66738,             0.66786,             0.57345,             0.34341,            0.035303,            0.012517,          0.00074052,            0.004796,            0.004796,            0.004796
                  57,            0.025837,            0.028251,           0.0033179,            0.013561,           0.0071429,           0.0029404,          0.00071943,            0.043225,            0.046582,            0.011826,           0.0046568,           0.0046568,           0.0046568
                  58,            0.023475,            0.024196,           0.0049948,             0.51783,             0.34584,              0.3506,             0.19126,            0.042966,             0.01829,            0.003137,           0.0045184,           0.0045184,           0.0045184
                  59,            0.024793,             0.02376,            0.004425,             0.72889,             0.72383,             0.65419,             0.35062,            0.034548,            0.014251,          0.00053309,           0.0043809,           0.0043809,           0.0043809
                  60,            0.025255,            0.024461,           0.0037082,             0.63613,             0.64643,             0.56866,             0.33436,             0.03626,             0.01405,          0.00050069,           0.0042445,           0.0042445,           0.0042445
                  61,             0.02629,            0.027538,           0.0026033,              0.7141,             0.71429,             0.61547,             0.36746,            0.034821,            0.013154,          0.00051464,           0.0041094,           0.0041094,           0.0041094
                  62,            0.024242,            0.025115,           0.0038409,             0.70266,             0.69997,             0.60496,             0.36493,            0.033002,            0.013152,          0.00040382,           0.0039757,           0.0039757,           0.0039757
                  63,            0.025138,             0.02669,           0.0037366,             0.70335,             0.70357,             0.60783,             0.33184,            0.035251,             0.01121,          0.00029962,           0.0038434,           0.0038434,           0.0038434
                  64,            0.022762,            0.028181,           0.0031671,             0.76709,             0.77857,             0.67212,             0.37159,            0.032307,            0.013496,           0.0024156,           0.0037128,           0.0037128,           0.0037128
                  65,            0.023246,            0.026085,           0.0035902,             0.78913,             0.75714,             0.68747,             0.38167,            0.033119,            0.011969,           0.0016774,            0.003584,            0.003584,            0.003584
                  66,            0.022728,            0.022447,            0.002448,             0.76097,             0.75357,              0.6721,              0.3877,            0.034416,            0.011509,           0.0017849,            0.003457,            0.003457,            0.003457
                  67,            0.021811,            0.025327,           0.0020231,             0.75252,             0.71786,             0.65355,               0.353,            0.033569,            0.012042,            0.001905,           0.0033321,           0.0033321,           0.0033321
                  68,             0.02149,            0.019774,           0.0012082,             0.73896,             0.73929,             0.64287,             0.38611,            0.033884,            0.012374,          0.00081223,           0.0032093,           0.0032093,           0.0032093
                  69,            0.020768,            0.017658,           0.0012466,             0.78947,              0.7499,             0.69382,             0.38647,            0.033039,              0.0126,          0.00047272,           0.0030888,           0.0030888,           0.0030888
                  70,            0.020311,            0.024338,           0.0014706,             0.77436,               0.775,               0.677,             0.41239,            0.032391,            0.012637,          0.00068052,           0.0029706,           0.0029706,           0.0029706
                  71,            0.021712,            0.022848,           0.0014674,             0.74334,                0.75,             0.65917,             0.38948,            0.032293,            0.014584,            0.001845,            0.002855,            0.002855,            0.002855
                  72,            0.021727,             0.02068,           0.0010693,             0.74061,             0.69988,             0.62535,             0.38189,             0.03457,            0.012606,            0.001672,           0.0027419,           0.0027419,           0.0027419
                  73,            0.020491,            0.019213,           0.0017238,             0.72367,                0.75,             0.63957,             0.36975,            0.032033,            0.012663,           0.0018526,           0.0026316,           0.0026316,           0.0026316
                  74,            0.022148,            0.027073,           0.0019447,             0.72442,             0.73929,             0.63208,             0.38017,            0.032445,            0.012947,          0.00063138,           0.0025241,           0.0025241,           0.0025241
